gameLabel,videoId,videoTitle,Negative,Neutral,Positive,total,positive_pct,neutral_pct,negative_pct
Project Sekai,MTS6pUIbPVc,[Project Sekai] How to reach [S] score rank &amp; Challenge Show Guide,76.0,170.0,121.0,367.0,32.97,46.32,20.71
Project Sekai,NQ9cpH8eegY,BE CAREFUL!! You CAN GET BANNED if you SAY THIS!! #projectsekai,44.0,79.0,14.0,137.0,10.22,57.66,32.12
Project Sekai,SmOs9EN9G4k,A cynical review of the Hatsune Miku gacha game -  Project Sekai: Colorful Stage,83.0,112.0,102.0,297.0,34.34,37.71,27.95
Project Sekai,_WgN8txjzZs,this append chart needs fingers and your foot #projectsekai,86.0,230.0,73.0,389.0,18.77,59.13,22.11
Project Sekai,fYvNXlqIQx4,Grrrls meme #projectsekai #pjsk #vocaloid #meme #trend #colourfulstage,153.0,567.0,199.0,919.0,21.65,61.7,16.65
Project Sekai,feibXPz9lww,Non pjsk players what do you think? #projectsekai #projectsekaicolorfulstage #guess #fun #viral #fyp,129.0,387.0,83.0,599.0,13.86,64.61,21.54
Project Sekai,geCjXOGYoGs,NEW SONG JUST CAME OUT AND WHAT IS THIS?! #projectsekai,46.0,155.0,35.0,236.0,14.83,65.68,19.49
Project Sekai,hZqCRss-dMw,Ranking Every Mobile Game Ever 18: Hatsune Miku: Colorful Stage/ Project Sekai,25.0,90.0,60.0,175.0,34.29,51.43,14.29
Project Sekai,iTVjRtUMtXY,Project Sekai Hottest Takes,266.0,154.0,99.0,519.0,19.08,29.67,51.25
Project Sekai,kSLpZiufpfI,The vocaloid fandom before pjsekai fans,244.0,224.0,74.0,542.0,13.65,41.33,45.02
Project Sekai,okVQL2kba_o,how do you play trace notes? | Project Sekai,54.0,164.0,59.0,277.0,21.3,59.21,19.49
Project Sekai,pg-sODeDXNM,Project Sekai Hot Takes,223.0,236.0,169.0,628.0,26.91,37.58,35.51
Project Sekai,qBRaen3TZRY,Can you tap 17 times per second? #shorts #projectsekai,124.0,434.0,73.0,631.0,11.57,68.78,19.65
Project Sekai,qVjpFUSlVJA,[PROJECT SEKAI] A Guide for Beginners!,36.0,81.0,63.0,180.0,35.0,45.0,20.0
Project Sekai,sn_yZBKZjkM,Am I playing this wrong? | Project Sekai Colorful Stage,31.0,101.0,48.0,180.0,26.67,56.11,17.22
Project Sekai,u9_eDQlWjnI,I want jp server so badly- #pjsk #projectsekai #colourfulstage,177.0,369.0,96.0,642.0,14.95,57.48,27.57
Project Sekai,vnVItMBj-IA,The Wild World of Project Sekai Unpopular Opinions,52.0,40.0,50.0,142.0,35.21,28.17,36.62
Project Sekai,xa8IjB7fq9U,I cant stop doing the trend! #trends #pjsk #hatsunemikucolorfulstage #projectsekai,137.0,401.0,122.0,660.0,18.48,60.76,20.76
Project Sekai,yZYJ2nAmf-8,the objectively best card in project sekai  #projectsekai #prosekai #colorfulstage,18.0,53.0,86.0,157.0,54.78,33.76,11.46
Project Sekai,zeR5nYlpMak,I swear this happens to me all the time #projectsekai #vocaloid #colorfulstage #hatsunemiku #pjsk,199.0,293.0,108.0,600.0,18.0,48.83,33.17
