gameLabel,Negative,Neutral,Positive,total,positive_pct,neutral_pct,negative_pct
BanG Dream,1910.0,8170.0,2868.0,12948.0,22.15,63.1,14.75
Project Sekai,3644.0,6450.0,3109.0,13203.0,23.55,48.85,27.6
