game,community_id,users,weighted_degree_sum
BanG Dream,185,2,2.0
BanG Dream,186,2,2.0
BanG Dream,187,2,2.0
BanG Dream,188,2,2.0
BanG Dream,189,2,2.0
BanG Dream,190,2,2.0
BanG Dream,191,2,2.0
BanG Dream,192,2,2.0
BanG Dream,193,2,2.0
BanG Dream,194,2,2.0
BanG Dream,195,2,2.0
BanG Dream,196,2,2.0
BanG Dream,197,2,2.0
BanG Dream,198,2,2.0
BanG Dream,199,2,2.0
BanG Dream,200,2,2.0
BanG Dream,201,2,2.0
BanG Dream,202,2,2.0
BanG Dream,203,2,2.0
BanG Dream,204,2,2.0
BanG Dream,205,2,2.0
BanG Dream,206,2,2.0
BanG Dream,207,2,2.0
BanG Dream,208,2,2.0
BanG Dream,209,2,2.0
BanG Dream,210,2,2.0
BanG Dream,211,2,2.0
BanG Dream,212,2,2.0
BanG Dream,213,2,2.0
BanG Dream,214,2,2.0
BanG Dream,215,2,2.0
BanG Dream,216,2,2.0
BanG Dream,217,2,2.0
BanG Dream,218,2,2.0
BanG Dream,219,2,2.0
BanG Dream,220,2,2.0
BanG Dream,221,2,2.0
BanG Dream,222,2,2.0
BanG Dream,223,2,2.0
BanG Dream,224,2,2.0
BanG Dream,225,2,2.0
BanG Dream,226,2,2.0
BanG Dream,227,2,2.0
BanG Dream,228,2,2.0
BanG Dream,229,2,2.0
BanG Dream,230,2,2.0
BanG Dream,231,2,2.0
BanG Dream,232,2,2.0
BanG Dream,233,2,2.0
BanG Dream,234,2,2.0
BanG Dream,235,2,2.0
BanG Dream,236,2,2.0
BanG Dream,237,2,2.0
BanG Dream,238,2,2.0
BanG Dream,239,2,2.0
BanG Dream,240,2,2.0
BanG Dream,241,2,2.0
BanG Dream,242,2,2.0
BanG Dream,243,2,2.0
BanG Dream,244,2,2.0
BanG Dream,245,2,2.0
BanG Dream,246,2,2.0
BanG Dream,247,2,2.0
BanG Dream,248,2,2.0
BanG Dream,249,2,2.0
BanG Dream,250,2,2.0
BanG Dream,251,2,2.0
BanG Dream,252,2,2.0
BanG Dream,253,2,2.0
BanG Dream,254,2,2.0
BanG Dream,255,2,2.0
BanG Dream,256,2,2.0
BanG Dream,257,2,2.0
BanG Dream,258,2,2.0
BanG Dream,259,2,2.0
BanG Dream,260,2,2.0
BanG Dream,261,2,2.0
BanG Dream,262,2,2.0
BanG Dream,263,2,2.0
BanG Dream,264,2,2.0
BanG Dream,265,2,2.0
BanG Dream,266,2,2.0
BanG Dream,267,2,2.0
BanG Dream,268,2,2.0
BanG Dream,269,2,2.0
BanG Dream,270,2,2.0
BanG Dream,271,2,2.0
BanG Dream,272,2,2.0
BanG Dream,273,2,2.0
BanG Dream,274,2,2.0
BanG Dream,275,2,2.0
BanG Dream,276,2,2.0
BanG Dream,277,2,2.0
BanG Dream,278,2,2.0
BanG Dream,279,2,2.0
BanG Dream,280,2,2.0
BanG Dream,281,2,2.0
BanG Dream,282,2,2.0
BanG Dream,283,2,2.0
BanG Dream,284,2,2.0
BanG Dream,285,2,2.0
BanG Dream,286,2,2.0
BanG Dream,287,2,2.0
BanG Dream,288,2,2.0
BanG Dream,289,2,2.0
BanG Dream,290,2,2.0
BanG Dream,291,2,2.0
BanG Dream,292,2,2.0
BanG Dream,293,2,2.0
BanG Dream,294,2,2.0
BanG Dream,295,2,2.0
BanG Dream,296,2,2.0
BanG Dream,297,2,2.0
BanG Dream,298,2,2.0
BanG Dream,299,2,2.0
BanG Dream,300,2,2.0
BanG Dream,301,2,2.0
BanG Dream,302,2,2.0
