gameLabel,Negative,Neutral,Positive,total,positive_pct,neutral_pct,negative_pct
BanG Dream,1404.0,8018.0,3526.0,12948.0,27.23,61.92,10.84
Project Sekai,2457.0,5531.0,5215.0,13203.0,39.5,41.89,18.61
