gameLabel,videoId,videoTitle,Negative,Neutral,Positive,total,positive_pct,neutral_pct,negative_pct
Project Sekai,hZqCRss-dMw,Ranking Every Mobile Game Ever 18: Hatsune Miku: Colorful Stage/ Project Sekai,17.0,74.0,84.0,175.0,48.0,42.29,9.71
Project Sekai,iTVjRtUMtXY,Project Sekai Hottest Takes,122.0,60.0,337.0,519.0,64.93,11.56,23.51
Project Sekai,kSLpZiufpfI,The vocaloid fandom before pjsekai fans,140.0,262.0,140.0,542.0,25.83,48.34,25.83
Project Sekai,okVQL2kba_o,how do you play trace notes? | Project Sekai,41.0,146.0,90.0,277.0,32.49,52.71,14.8
Project Sekai,pg-sODeDXNM,Project Sekai Hot Takes,144.0,140.0,344.0,628.0,54.78,22.29,22.93
Project Sekai,qBRaen3TZRY,Can you tap 17 times per second? #shorts #projectsekai,71.0,454.0,106.0,631.0,16.8,71.95,11.25
Project Sekai,qVjpFUSlVJA,[PROJECT SEKAI] A Guide for Beginners!,22.0,57.0,101.0,180.0,56.11,31.67,12.22
Project Sekai,sn_yZBKZjkM,Am I playing this wrong? | Project Sekai Colorful Stage,26.0,99.0,55.0,180.0,30.56,55.0,14.44
Project Sekai,u9_eDQlWjnI,I want jp server so badly- #pjsk #projectsekai #colourfulstage,78.0,348.0,216.0,642.0,33.64,54.21,12.15
Project Sekai,vnVItMBj-IA,The Wild World of Project Sekai Unpopular Opinions,35.0,24.0,83.0,142.0,58.45,16.9,24.65
Project Sekai,xa8IjB7fq9U,I cant stop doing the trend! #trends #pjsk #hatsunemikucolorfulstage #projectsekai,93.0,387.0,180.0,660.0,27.27,58.64,14.09
Project Sekai,yZYJ2nAmf-8,the objectively best card in project sekai  #projectsekai #prosekai #colorfulstage,14.0,58.0,85.0,157.0,54.14,36.94,8.92
Project Sekai,zeR5nYlpMak,I swear this happens to me all the time #projectsekai #vocaloid #colorfulstage #hatsunemiku #pjsk,115.0,216.0,269.0,600.0,44.83,36.0,19.17
