game,raw_comments_replies,removed_empty_text,removed_duplicates,final_analysis_comments,top_level_comments,replies,unique_users,final_reply_edges,videos
Project Sekai,13253,1,49,13203,8617,4586,9537,3372,30
BanG Dream,12977,8,21,12948,9621,3327,8290,2582,30
