quarter,sentiment,count,model
2023Q4,Positive,412,VADER
2023Q4,Neutral,285,VADER
2023Q4,Negative,130,VADER
2024Q1,Positive,549,VADER
2024Q1,Neutral,503,VADER
2024Q1,Negative,194,VADER
2024Q2,Positive,398,VADER
2024Q2,Neutral,597,VADER
2024Q2,Negative,174,VADER
2024Q3,Positive,1086,VADER
2024Q3,Neutral,706,VADER
2024Q3,Negative,491,VADER
2024Q4,Positive,370,VADER
2024Q4,Neutral,471,VADER
2024Q4,Negative,199,VADER
2025Q1,Positive,496,VADER
2025Q1,Neutral,1277,VADER
2025Q1,Negative,229,VADER
2025Q2,Positive,757,VADER
2025Q2,Neutral,615,VADER
2025Q2,Negative,317,VADER
2025Q3,Positive,385,VADER
2025Q3,Neutral,480,VADER
2025Q3,Negative,175,VADER
2025Q4,Positive,613,VADER
2025Q4,Neutral,2023,VADER
2025Q4,Negative,303,VADER
2026Q1,Positive,835,VADER
2026Q1,Neutral,2805,VADER
2026Q1,Negative,467,VADER
2026Q2,Positive,377,VADER
2026Q2,Neutral,1524,VADER
2026Q2,Negative,214,VADER
