gameLabel,source,target,weight
BanG Dream,UC1LiMnx5m0Smi9xVA-m-_Gw,UCD2wZyhwEw-75ezJT-3JaHQ,2
BanG Dream,UC1LiMnx5m0Smi9xVA-m-_Gw,UCDDvIdlEMDMuoZbNZIEhN6w,2
BanG Dream,UC1N-U9AIf2xtVZ3eMy_KG5Q,UCV2kuwZ_Mfux-1CdcKvFuNg,2
BanG Dream,UC1cr1SCYk66l3Y8tKwIccGw,UCDUyoVQq10nbVohfygNRw3g,2
BanG Dream,UC1jR96Vno99SQR04AeZ_IHQ,UCDYXkDvRZLZm-rJ4IJM94wA,2
BanG Dream,UC2FgJ-H-wu2CCBp3rYFQ95A,UCWk7ntM_djcnCz-tc0HgSRg,2
BanG Dream,UC2UA-9Og3sOs3d2UznZvY9w,UC5Yf7SezKghHAhh0XenVTYw,2
BanG Dream,UC2Wkdnj3Vy9esoXVbWSKcew,UCIPEm8UcJwOFeX3QuKtYdmA,2
BanG Dream,UC2hbF2_g15SHlWw3ljVTWsw,UCxf9EHtKPvEIb7QsDcUVk0g,2
BanG Dream,UC37RWITcKdWkzhaWbEt7ebA,UCGCY9kOeptW6M4WMzvxTlAg,2
BanG Dream,UC39T-Spe-GwI7c6mBx6cl_g,UCbDQF8ai-OEjMseIJkyh3Kw,2
BanG Dream,UC3Hgx8gDhIFraUD9j00ZWDw,UCf1JYMNiWE6uY1PtqJOC_Jg,2
BanG Dream,UC3UZDAMh72aTfpTmYLOWs0g,UCxGldMunmBdjX5KslCowpIA,2
BanG Dream,UC3mWTdtdwUaLXrSg2yzGW1Q,UCDPgdfZVjIg0Zf8Rmoyn1Kg,2
BanG Dream,UC3mWTdtdwUaLXrSg2yzGW1Q,UCulzAY3Rz4K3_sbxV5Dt27A,2
BanG Dream,UC4-qr9vbNEfL4RqbDCUjzaQ,UCPsfosif42gwshsKfUCt3Pg,2
BanG Dream,UC4IrcMIuSqNe5QUsB8XKvmw,UCg2IoT129-EkyAJGfMnoziw,2
BanG Dream,UC5iY8n0Fa43f7Y5Wh4D7_Sw,UC0PC8c5DsuaFB1akUBEwY0A,2
BanG Dream,UC5iY8n0Fa43f7Y5Wh4D7_Sw,UCLZjjCkgsREUoK1mevffZ2A,2
BanG Dream,UC5iY8n0Fa43f7Y5Wh4D7_Sw,UCy9_sXrOu5zmAJS_v2_Y4fw,2
BanG Dream,UC6XWyw8qcnmxPY3wzZJYk2A,UCeKoE-Teud0GnqilECWT52w,2
BanG Dream,UC6i7RMIM64OMmf-7Agcjpvg,UC7XHrsBbcqBoV5Izx6cAFbg,2
BanG Dream,UC6iRpZS0Pup8n0DFjJdQDAA,UC6E6NBAvdYbgCPKzpdjY_lg,2
BanG Dream,UC6wMQ8QVf6PbYHFeFHVpKzw,UCWk7ntM_djcnCz-tc0HgSRg,2
BanG Dream,UC7ZEk_nzJF_ttGGNocVifpA,UCfCT_opCsOxr2vYb3Bt6cIg,2
BanG Dream,UC8gJTScQ7qMPQ0CWW7A97Nw,UCBakWrMnULQlVm_Q2HsfRjw,2
BanG Dream,UC90GEyYk93-TaJs8LoTFQgw,UC73Zc2uu9ZVP6oh_oIDHYPQ,2
BanG Dream,UC92-FkZm9quUlUdGw-Si8Cg,UCk40eKOLYpghLZFOUf-x0NQ,2
BanG Dream,UC98Wj8frvGsxoGqmv1JoPyQ,UCGDQUIY6aJOokeDDS54_CRA,2
